"case","n","v","series","s","measured"
"100 kb, MAF 0, samples",2504,3105,"hclust 5.0.0 (wasm)",7.42,"2026-09-03"
"100 kb, MAF 0, samples",2504,3105,"hclust 5.1.0 (wasm)",2.28,"2026-09-03"
"100 kb, MAF 0, samples",2504,3105,"WebGPU kernel",0.73,"2026-09-03"
"100 kb, MAF 0, samples",2504,3105,"greenelab/hclust (JS)",20.53,"2026-09-03"
"100 kb, MAF 0, samples",2504,3105,"optimized JS",10.68,"2026-09-03"
"1 Mb, MAF 0.05, samples",2504,2357,"hclust 5.0.0 (wasm)",5.87,"2026-09-03"
"1 Mb, MAF 0.05, samples",2504,2357,"hclust 5.1.0 (wasm)",1.69,"2026-09-03"
"1 Mb, MAF 0.05, samples",2504,2357,"WebGPU kernel",0.4,"2026-09-03"
"1 Mb, MAF 0.05, samples",2504,2357,"greenelab/hclust (JS)",15.76,"2026-09-03"
"1 Mb, MAF 0.05, samples",2504,2357,"optimized JS",7.52,"2026-09-03"
"1 Mb, MAF 0.05, haplotypes",5008,2311,"hclust 5.0.0 (wasm)",24.36,"2026-09-03"
"1 Mb, MAF 0.05, haplotypes",5008,2311,"hclust 5.1.0 (wasm)",7.27,"2026-09-03"
"1 Mb, MAF 0.05, haplotypes",5008,2311,"WebGPU kernel",1.36,"2026-09-03"
"1 Mb, MAF 0.05, haplotypes",5008,2311,"greenelab/hclust (JS)",60.29,"2026-09-03"
"1 Mb, MAF 0.05, haplotypes",5008,2311,"optimized JS",29.78,"2026-09-03"
"1 Mb, MAF 0, samples",2504,22513,"hclust 5.0.0 (wasm)",59.89,"2026-09-03"
"1 Mb, MAF 0, samples",2504,22513,"hclust 5.1.0 (wasm)",18.09,"2026-09-03"
"1 Mb, MAF 0, samples",2504,22513,"WebGPU kernel",5.89,"2026-09-03"
"1 Mb, MAF 0, samples",2504,22513,"greenelab/hclust (JS)",143.43,"2026-09-03"
"1 Mb, MAF 0, samples",2504,22513,"optimized JS",78.63,"2026-09-03"
"1 Mb, MAF 0, haplotypes",5008,22382,"hclust 5.0.0 (wasm)",230.95,"2026-09-03"
"1 Mb, MAF 0, haplotypes",5008,22382,"hclust 5.1.0 (wasm)",69.18,"2026-09-03"
"1 Mb, MAF 0, haplotypes",5008,22382,"WebGPU kernel",13.2,"2026-09-03"
"1 Mb, MAF 0, haplotypes",5008,22382,"greenelab/hclust (JS)",569.19,"2026-09-03"
"1 Mb, MAF 0, haplotypes",5008,22382,"optimized JS",306.33,"2026-09-03"
